match_id,season,date,match_type,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,target_runs,team1_runs,team1_overs,team1_wickets,team1_run_rate,team2_runs,team2_overs,team2_wickets,team2_run_rate,t1_platinum,t1_diamond,t1_gold,t1_silver,t1_emerging,t1_supplementary,t2_platinum,t2_diamond,t2_gold,t2_silver,t2_emerging,t2_supplementary,season_winner
1247016,2021,24/02/2021,League,National Stadium,Karachi Kings, Islamabad United,Islamabad United,field,Islamabad United,wickets,5,197,196,20,3,9.8,197,19.1,5,10.28,2,2,2,1,1,1,2,1,2,2,1,3,Multan Sultans
1247017,2021,26/02/2021,League,National Stadium,Lahore Qalandars, Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,7,158,157,20,6,7.85,159,16.2,3,9.73,1,2,0,1,0,7,1,0,1,3,0,5,Multan Sultans
1247018,2021,26/02/2021,League,National Stadium,Quetta Gladiators, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,3,199,198,20,7,9.9,202,19.3,7,10.36,0,1,2,1,1,6,2,2,1,3,0,3,Multan Sultans
1247019,2021,27/02/2021,League,National Stadium,Multan Sultans, Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,7,196,195,20,6,9.75,198,18.5,3,10.51,1,1,1,3,0,5,2,2,1,1,1,3,Multan Sultans
1247020,2021,27/02/2021,League,National Stadium,Islamabad United, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,6,119,118,17.1,10,6.87,122,17.1,4,7.11,2,1,2,1,1,4,2,2,1,2,0,4,Multan Sultans
1247021,2021,28/02/2021,League,National Stadium,Karachi Kings, Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,6,187,186,20,9,9.3,189,19.2,4,9.78,2,2,1,2,1,3,1,2,0,1,0,6,Multan Sultans
1247022,2021,02/03/2021,League,National Stadium,Quetta Gladiators, Islamabad United,Islamabad United,field,Islamabad United,wickets,6,157,156,20,7,7.8,157,17,4,9.24,0,1,2,1,1,6,2,1,2,3,1,2,Multan Sultans
1247023,2021,03/03/2021,League,National Stadium,Peshawar Zalmi, Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,6,189,188,20,5,9.4,191,19.3,4,9.79,1,1,2,3,0,4,2,2,1,1,1,4,Multan Sultans
1247024,2021,03/03/2021,League,National Stadium,Quetta Gladiators, Multan Sultans,Multan Sultans,field,Quetta Gladiators,runs,22,177,176,20,7,8.8,154,19.4,10,7.83,0,1,1,2,1,6,0,2,1,3,0,5,Multan Sultans
1247027,2021,09/06/2021,League,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United, Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,5,144,143,20,9,7.15,144,20,5,7.2,2,1,2,2,1,3,2,2,0,2,0,5,Multan Sultans
